country,country_code,year,gov_exp_pct_gdp,lit_rate_adult_pct,pri_comp_rate_pct,pupil_teacher_primary,pupil_teacher_secondary,school_enrol_primary_pct,school_enrol_secondary_pct,school_enrol_tertiary_pct
Afghanistan,AFG,1999,,,,33.18571,,27.298849105835,,
Afghanistan,AFG,2000,,,,,,22.1629905700684,,
Afghanistan,AFG,2001,,,,,,22.9085903167725,14.4715099334717,
Afghanistan,AFG,2002,,,,,,75.9597473144531,,
Afghanistan,AFG,2003,,,,,,96.5536804199219,14.078049659729,1.38107001781464
Afghanistan,AFG,2004,,,,,,106.252662658691,19.2631397247314,1.38966000080109
Afghanistan,AFG,2005,,,,,,100.229690551758,20.3119602203369,
Afghanistan,AFG,2006,4.68476057052612,,,42.32602,,103.932243347168,29.6913509368896,
Afghanistan,AFG,2007,4.17489528656006,,,42.7703,31.56236,101.086456298828,29.0891704559326,
Afghanistan,AFG,2008,4.38367223739624,,,43.72982,,103.413963317871,39.090030670166,
Afghanistan,AFG,2009,4.81063985824585,,,42.83639,,99.3697204589844,44.3971710205078,4.02480983734131
Afghanistan,AFG,2010,3.4794499874115,,,44.41709,,102.903442382812,50.413688659668,
Afghanistan,AFG,2011,3.4620099067688,31.0,,43.51915,,100.290298461914,52.198429107666,3.75560998916626
Afghanistan,AFG,2012,2.60419988632202,,,44.67743,,106.283401489258,54.2063903808594,
Afghanistan,AFG,2013,3.45445990562439,,,45.71171,,107.695976257324,54.7542190551758,
Afghanistan,AFG,2014,3.69521999359131,,,,,109.115516662598,54.235481262207,8.31087017059326
Afghanistan,AFG,2015,3.2558000087738,33.7538414001465,,43.38836,31.9738,106.182418823242,53.2851409912109,
Afghanistan,AFG,2016,4.54397010803223,,82.9104614257812,44.58162,32.20814,106.150283813477,53.5063400268555,
Afghanistan,AFG,2017,4.34319019317627,,87.2533264160156,47.98298,33.2407,106.129997253418,55.4021492004395,
Afghanistan,AFG,2018,,,88.7355194091797,48.78979,33.50124,107.780532836914,57.0392990112305,9.96378993988037
Afghanistan,AFG,2019,,,86.1755218505859,,,110.007507324219,,
Afghanistan,AFG,2020,,,,,,,,10.8584403991699
Afghanistan,AFG,2021,,37.0,,,,,,
Africa Eastern and Southern,AFE,1999,3.88741993904114,62.2657089233398,49.6071510314941,,,76.8383483886719,27.4339294433594,3.65201997756958
Africa Eastern and Southern,AFE,2000,3.60612988471985,62.7700996398926,49.3755912780762,,,78.7392196655273,27.6004199981689,3.88636994361877
Africa Eastern and Southern,AFE,2001,4.34167003631592,63.2581901550293,51.5703086853027,,,81.9689865112305,28.6678905487061,4.20995998382568
Africa Eastern and Southern,AFE,2002,,63.9522705078125,53.1382293701172,,,84.6974563598633,29.3207302093506,4.47115993499756
Africa Eastern and Southern,AFE,2003,,64.4423522949219,54.6929588317871,,,88.6406173706055,29.9111099243164,4.77924013137817
Africa Eastern and Southern,AFE,2004,3.74496006965637,64.6767501831055,55.8798217773438,,,91.0496597290039,31.3254203796387,5.06202983856201
Africa Eastern and Southern,AFE,2005,3.85834002494812,64.1336822509766,58.5243606567383,,,94.6678466796875,32.3135108947754,5.30094003677368
Africa Eastern and Southern,AFE,2006,3.7359299659729,62.1792793273926,60.8099708557129,,,97.3383865356445,33.8777389526367,5.57385015487671
Africa Eastern and Southern,AFE,2007,,63.1340789794922,62.6745681762695,,,100.662322998047,35.3552894592285,5.73407983779907
Africa Eastern and Southern,AFE,2008,4.28008008003235,63.3671798706055,65.9203186035156,,,104.486701965332,36.879711151123,6.14678001403809
Africa Eastern and Southern,AFE,2009,,64.0625,69.6016387939453,,,104.146858215332,38.0843315124512,6.7424898147583
Africa Eastern and Southern,AFE,2010,4.02403008937836,64.8099975585938,69.3187866210938,,,103.481666564941,39.0978584289551,7.33560991287231
Africa Eastern and Southern,AFE,2011,4.63901448249817,66.8712768554688,68.2895202636719,,,103.462699890137,39.8236808776855,7.72187995910645
Africa Eastern and Southern,AFE,2012,4.93121004104614,68.5478668212891,67.9991226196289,,,103.671943664551,40.910758972168,8.03396987915039
Africa Eastern and Southern,AFE,2013,4.78330707550048,69.380859375,67.4955368041992,,,102.879890441895,41.6186714172363,8.26618003845215
